ISO,Provinsi,longitude,latitude
ID-YO,D.I. Yogyakarta,110.44778,-7.89369
ID-BA,Bali,115.13160,-8.36688
ID-BT,Banten,106.12208,-6.45468
ID-BE,Bengkulu,102.38578,-3.58945
ID-JK,DKI Jakarta,106.83905,-6.20990
ID-GO,Gorontalo,122.37933,0.68953
ID-PB,Papua Barat,132.97229,-2.03143
ID-JA,Jambi,102.72272,-1.69774
ID-JB,Jawa Barat,107.60180,-6.92050
ID-JT,Jawa Tengah,110.20971,-7.25767
ID-KB,Kalimantan Barat,111.12519,-0.08408
ID-KS,Kalimantan Selatan,115.43391,-2.99847
ID-KT,Kalimantan Tengah,113.41669,-1.60026
ID-BT,Kepulauan Bangka Belitung,106.48690,-2.42621
ID-KR,Kepulauan Riau,105.69467,1.54786
ID-LA,Lampung,105.01648,-4.91412
ID-MA,Maluku,129.69799,-4.61648
ID-MU,Maluku Utara,127.53736,0.23016
ID-AC,Aceh,96.91521,4.22653
ID-NB,Nusa Tenggara Barat,117.49953,-8.61134
ID-NT,Nusa Tenggara Timur,122.18656,-9.25716
ID-PA,Papua,138.67801,-4.65242
ID-RI,Riau,101.79483,0.50647
ID-SR,Sulawesi Barat,119.33834,-2.46088
ID-SN,Sulawesi Selatan,120.16084,-3.66504
ID-ST,Sulawesi Tengah,121.16712,-0.97473
ID-SG,Sulawesi Tenggara,122.04948,-4.09582
ID-SA,Sulawesi Utara,124.46179,1.18297
ID-SB,Sumatera Barat,100.46376,-0.85307
ID-SS,Sumatera Selatan,104.17538,-3.20798
ID-SU,Sumatera Utara,99.05908,2.19251
ID-JI,Jawa Timur,112.70501,-7.72699
ID-KU,Kalimantan Utara,116.24075,2.90949
ID-KI,Kalimantan Timur,116.45437,0.45204
